processed_input	weight	category_weights
global_win_rate	1.5095969298297902	"{
  ""category_weights"": []
}"
D30_win_rate	0.65478756521918924	"{
  ""category_weights"": []
}"
D7_win_rate	0.66532261188232844	"{
  ""category_weights"": []
}"
niche_win_rate_history	0.024821175605250517	"{
  ""category_weights"": []
}"
lifetime_roi_pct	0.47877435590289286	"{
  ""category_weights"": []
}"
D30_roi_pct	0.14739304471732648	"{
  ""category_weights"": []
}"
D7_roi_pct	0.00095967845602454511	"{
  ""category_weights"": []
}"
win_rate_trend_short	-0.22841035631796092	"{
  ""category_weights"": []
}"
win_rate_trend_long	-1.109253985976226	"{
  ""category_weights"": []
}"
roi_trend_short	-0.0084287918644840726	"{
  ""category_weights"": []
}"
roi_trend_long	-0.10964101028137704	"{
  ""category_weights"": []
}"
performance_regime		"{
  ""category_weights"": [{
    ""category"": ""COLD_STREAK"",
    ""weight"": ""0.072095728347968638""
  }, {
    ""category"": ""HOT_STREAK"",
    ""weight"": ""-0.02328615003819734""
  }, {
    ""category"": ""IMPROVING"",
    ""weight"": ""-0.0018703852141256161""
  }, {
    ""category"": ""DECLINING"",
    ""weight"": ""0.0044630260284279147""
  }, {
    ""category"": ""STABLE"",
    ""weight"": ""-0.00069993263906788141""
  }]
}"
total_lifetime_trades	-6.7772280288097554e-10	"{
  ""category_weights"": []
}"
trader_experience_bucket		"{
  ""category_weights"": [{
    ""category"": ""EXPERIENCED"",
    ""weight"": ""0.057132612349065345""
  }, {
    ""category"": ""NOVICE"",
    ""weight"": ""0.073169556427961621""
  }, {
    ""category"": ""EXPERT"",
    ""weight"": ""-0.0003421400937016158""
  }, {
    ""category"": ""INTERMEDIATE"",
    ""weight"": ""0.093057595312662958""
  }]
}"
niche_experience_pct	-0.042794370051668924	"{
  ""category_weights"": []
}"
is_in_best_niche	0.018885407377889459	"{
  ""category_weights"": []
}"
trader_selectivity	0.23308163249259339	"{
  ""category_weights"": []
}"
price_vs_trader_avg	0.44292101725855737	"{
  ""category_weights"": []
}"
conviction_z_score	-0.020392036452826952	"{
  ""category_weights"": []
}"
trade_sequence	-7.7419255994338729e-06	"{
  ""category_weights"": []
}"
total_exposure_log	-0.0061986271028749811	"{
  ""category_weights"": []
}"
trader_tempo_seconds	1.6064904489705084e-06	"{
  ""category_weights"": []
}"
is_chasing_price_up	-0.037863070609711148	"{
  ""category_weights"": []
}"
is_averaging_down	0.04431801319166187	"{
  ""category_weights"": []
}"
stddev_bet_size	9.0480941954353809e-06	"{
  ""category_weights"": []
}"
is_hedging	0.0093175542313416581	"{
  ""category_weights"": []
}"
trader_sells_ratio	0.019654736120658382	"{
  ""category_weights"": []
}"
is_with_crowd	0.23624987075594914	"{
  ""category_weights"": []
}"
